#  m,M -> b,B
# x-axis: "(p1+p3)^2Diff. cross section [pb"  from -14000.000000 to -0.040000 N_bins= 300
# E = 120 GeV
# s section [pb/GeV^2]
-1.397667E+04 9.628775E-04 +/-  1.388121E-05
-1.393000E+04 9.577605E-04 +/-  1.380830E-05
-1.388333E+04 9.526146E-04 +/-  1.373709E-05
-1.383667E+04 9.461862E-04 +/-  1.384318E-05
-1.379000E+04 9.416222E-04 +/-  1.378979E-05
-1.374333E+04 9.357849E-04 +/-  1.370781E-05
-1.369667E+04 9.305930E-04 +/-  1.363291E-05
-1.365000E+04 9.264490E-04 +/-  1.356639E-05
-1.360333E+04 9.215790E-04 +/-  1.349485E-05
-1.355667E+04 9.146586E-04 +/-  1.340946E-05
-1.351000E+04 9.132114E-04 +/-  1.337001E-05
-1.346333E+04 9.073567E-04 +/-  1.329311E-05
-1.341667E+04 9.012950E-04 +/-  1.321922E-05
-1.337000E+04 9.002307E-04 +/-  1.318998E-05
-1.332334E+04 8.931791E-04 +/-  1.352351E-05
-1.327667E+04 8.888226E-04 +/-  1.353377E-05
-1.323000E+04 8.865844E-04 +/-  1.348624E-05
-1.318334E+04 8.824351E-04 +/-  1.342441E-05
-1.313667E+04 8.779341E-04 +/-  1.336180E-05
-1.309000E+04 8.738635E-04 +/-  1.330558E-05
-1.304334E+04 8.711685E-04 +/-  1.325812E-05
-1.299667E+04 8.670328E-04 +/-  1.319977E-05
-1.295000E+04 8.636650E-04 +/-  1.314872E-05
-1.290334E+04 8.599430E-04 +/-  1.309865E-05
-1.285667E+04 8.583978E-04 +/-  1.306732E-05
-1.281000E+04 8.531787E-04 +/-  1.301076E-05
-1.276334E+04 8.507071E-04 +/-  1.307891E-05
-1.271667E+04 8.497934E-04 +/-  1.305917E-05
-1.267000E+04 8.448234E-04 +/-  1.300140E-05
-1.262334E+04 8.438351E-04 +/-  1.297484E-05
-1.257667E+04 8.409709E-04 +/-  1.293233E-05
-1.253000E+04 8.389125E-04 +/-  1.289880E-05
-1.248334E+04 8.337402E-04 +/-  1.283963E-05
-1.243667E+04 8.324160E-04 +/-  1.281282E-05
-1.239000E+04 8.322626E-04 +/-  1.279677E-05
-1.234334E+04 8.299801E-04 +/-  1.276847E-05
-1.229667E+04 8.267042E-04 +/-  1.272772E-05
-1.225000E+04 8.261643E-04 +/-  1.271454E-05
-1.220334E+04 8.239417E-04 +/-  1.281211E-05
-1.215667E+04 8.230714E-04 +/-  1.287709E-05
-1.211001E+04 8.202649E-04 +/-  1.284395E-05
-1.206334E+04 8.200865E-04 +/-  1.283260E-05
-1.201667E+04 8.167161E-04 +/-  1.279472E-05
-1.197001E+04 8.174725E-04 +/-  1.279217E-05
-1.192334E+04 8.150126E-04 +/-  1.276452E-05
-1.187667E+04 8.161667E-04 +/-  1.276667E-05
-1.183001E+04 8.149063E-04 +/-  1.275201E-05
-1.178334E+04 8.116872E-04 +/-  1.272123E-05
-1.173667E+04 8.136179E-04 +/-  1.273237E-05
-1.169001E+04 8.118918E-04 +/-  1.271486E-05
-1.164334E+04 8.119333E-04 +/-  1.271381E-05
-1.159667E+04 8.115522E-04 +/-  1.270265E-05
-1.155001E+04 8.117662E-04 +/-  1.269794E-05
-1.150334E+04 8.107488E-04 +/-  1.268961E-05
-1.145667E+04 8.102539E-04 +/-  1.268404E-05
-1.141001E+04 8.118093E-04 +/-  1.269853E-05
-1.136334E+04 8.120246E-04 +/-  1.270198E-05
-1.131667E+04 8.112915E-04 +/-  1.269808E-05
-1.127001E+04 8.128053E-04 +/-  1.271177E-05
-1.122334E+04 8.120625E-04 +/-  1.271057E-05
-1.117667E+04 8.138514E-04 +/-  1.272931E-05
-1.113001E+04 8.138802E-04 +/-  1.273559E-05
-1.108334E+04 8.148090E-04 +/-  1.274614E-05
-1.103668E+04 8.173824E-04 +/-  1.275923E-05
-1.099001E+04 8.158441E-04 +/-  1.269760E-05
-1.094334E+04 8.171979E-04 +/-  1.271636E-05
-1.089668E+04 8.210169E-04 +/-  1.275496E-05
-1.085001E+04 8.194101E-04 +/-  1.275300E-05
-1.080334E+04 8.239106E-04 +/-  1.279991E-05
-1.075668E+04 8.231440E-04 +/-  1.280227E-05
-1.071001E+04 8.256804E-04 +/-  1.283444E-05
-1.066334E+04 8.278105E-04 +/-  1.286541E-05
-1.061668E+04 8.293739E-04 +/-  1.289186E-05
-1.057001E+04 8.310062E-04 +/-  1.292116E-05
-1.052334E+04 8.328097E-04 +/-  1.294385E-05
-1.047668E+04 8.363436E-04 +/-  1.298483E-05
-1.043001E+04 8.388553E-04 +/-  1.289566E-05
-1.038334E+04 8.396939E-04 +/-  1.284734E-05
-1.033668E+04 8.440663E-04 +/-  1.290067E-05
-1.029001E+04 8.440094E-04 +/-  1.291969E-05
-1.024334E+04 8.492150E-04 +/-  1.297792E-05
-1.019668E+04 8.501461E-04 +/-  1.300229E-05
-1.015001E+04 8.545966E-04 +/-  1.305941E-05
-1.010334E+04 8.570546E-04 +/-  1.310155E-05
-1.005668E+04 8.620345E-04 +/-  1.316420E-05
-1.001001E+04 8.627733E-04 +/-  1.318909E-05
-9.963345E+03 8.687058E-04 +/-  1.325152E-05
-9.916678E+03 8.698195E-04 +/-  1.328253E-05
-9.870012E+03 8.740918E-04 +/-  1.319463E-05
-9.823345E+03 8.783731E-04 +/-  1.313016E-05
-9.776679E+03 8.823294E-04 +/-  1.318916E-05
-9.730012E+03 8.861059E-04 +/-  1.324049E-05
-9.683346E+03 8.892008E-04 +/-  1.328977E-05
-9.636679E+03 8.946290E-04 +/-  1.336091E-05
-9.590013E+03 8.978290E-04 +/-  1.341238E-05
-9.543346E+03 9.023108E-04 +/-  1.347879E-05
-9.496680E+03 9.085555E-04 +/-  1.355988E-05
-9.450013E+03 9.111783E-04 +/-  1.360138E-05
-9.403346E+03 9.158905E-04 +/-  1.366855E-05
