# m,M ->b,B
# x-axis: "Sqrt(S)"  from 12.000000 to 200.000000 N_points= 100
# Asymmetry
1.200000E+01 -1.236040E-02
1.389899E+01 -2.164693E-02
1.579798E+01 -3.245779E-02
1.769697E+01 -4.491683E-02
1.959596E+01 -5.908060E-02
2.149495E+01 -7.499540E-02
2.339394E+01 -9.270596E-02
2.529293E+01 -1.122543E-01
2.719192E+01 -1.336758E-01
2.909091E+01 -1.569928E-01
3.098990E+01 -1.822074E-01
3.288889E+01 -2.092915E-01
3.478788E+01 -2.381755E-01
3.668687E+01 -2.687345E-01
3.858586E+01 -3.007717E-01
4.048485E+01 -3.340009E-01
4.238384E+01 -3.680276E-01
4.428283E+01 -4.023306E-01
4.618182E+01 -4.362476E-01
4.808081E+01 -4.689676E-01
4.997980E+01 -4.995347E-01
5.187879E+01 -5.268688E-01
5.377778E+01 -5.498072E-01
5.567677E+01 -5.671690E-01
5.757576E+01 -5.778407E-01
5.947475E+01 -5.808757E-01
6.137374E+01 -5.755952E-01
6.327273E+01 -5.616726E-01
6.517172E+01 -5.391864E-01
6.707071E+01 -5.086283E-01
6.896970E+01 -4.708622E-01
7.086869E+01 -4.270435E-01
7.276768E+01 -3.785104E-01
7.466667E+01 -3.266685E-01
7.656566E+01 -2.728853E-01
7.846465E+01 -2.184073E-01
8.036364E+01 -1.643055E-01
8.226263E+01 -1.114494E-01
8.416162E+01 -6.050332E-02
8.606061E+01 -1.194077E-02
8.795960E+01 3.393190E-02
8.985859E+01 7.694696E-02
9.175758E+01 1.170464E-01
9.365657E+01 1.542551E-01
9.555556E+01 1.886579E-01
9.745455E+01 2.203801E-01
9.935354E+01 2.495728E-01
1.012525E+02 2.764008E-01
1.031515E+02 3.010341E-01
1.050505E+02 3.236422E-01
1.069495E+02 3.443893E-01
1.088485E+02 3.634317E-01
1.107475E+02 3.809167E-01
1.126465E+02 3.969805E-01
1.145455E+02 4.117269E-01
1.164444E+02 4.253403E-01
1.183434E+02 4.378616E-01
1.202424E+02 4.494049E-01
1.221414E+02 4.600595E-01
1.240404E+02 4.699049E-01
1.259394E+02 4.790130E-01
1.278384E+02 4.874489E-01
1.297374E+02 4.952714E-01
1.316364E+02 5.025337E-01
1.335354E+02 5.092837E-01
1.354343E+02 5.155651E-01
1.373333E+02 5.214172E-01
1.392323E+02 5.268755E-01
1.411313E+02 5.319724E-01
1.430303E+02 5.367371E-01
1.449293E+02 5.411961E-01
1.468283E+02 5.453736E-01
1.487273E+02 5.492914E-01
1.506263E+02 5.529697E-01
1.525253E+02 5.564264E-01
1.544242E+02 5.596783E-01
1.563232E+02 5.627403E-01
1.582222E+02 5.656265E-01
1.601212E+02 5.683493E-01
1.620202E+02 5.709204E-01
1.639192E+02 5.733504E-01
1.658182E+02 5.756490E-01
1.677172E+02 5.778253E-01
1.696162E+02 5.798873E-01
1.715152E+02 5.818427E-01
1.734141E+02 5.836986E-01
1.753131E+02 5.854612E-01
1.772121E+02 5.871366E-01
1.791111E+02 5.887302E-01
1.810101E+02 5.902472E-01
1.829091E+02 5.916922E-01
1.848081E+02 5.930696E-01
1.867071E+02 5.943834E-01
1.886061E+02 5.956374E-01
1.905051E+02 5.968351E-01
1.924040E+02 5.979798E-01
1.943030E+02 5.990744E-01
1.962020E+02 6.001217E-01
1.981010E+02 6.011245E-01
2.000000E+02 6.020851E-01
