# m,M ->b,B
# x-axis: "Sqrt(S)"  from 114.500000 to 115.500000 N_points= 100
# Cross Section [pb]
1.145000E+02 3.437443E+01
1.145101E+02 3.434931E+01
1.145202E+02 3.432422E+01
1.145303E+02 3.429917E+01
1.145404E+02 3.427415E+01
1.145505E+02 3.424917E+01
1.145606E+02 3.422423E+01
1.145707E+02 3.419932E+01
1.145808E+02 3.417446E+01
1.145909E+02 3.414963E+01
1.146010E+02 3.412484E+01
1.146111E+02 3.410009E+01
1.146212E+02 3.407538E+01
1.146313E+02 3.405072E+01
1.146414E+02 3.402609E+01
1.146515E+02 3.400152E+01
1.146616E+02 3.397699E+01
1.146717E+02 3.395251E+01
1.146818E+02 3.392808E+01
1.146919E+02 3.390371E+01
1.147020E+02 3.387940E+01
1.147121E+02 3.385515E+01
1.147222E+02 3.383096E+01
1.147323E+02 3.380685E+01
1.147424E+02 3.378282E+01
1.147525E+02 3.375887E+01
1.147626E+02 3.373503E+01
1.147727E+02 3.371129E+01
1.147828E+02 3.368768E+01
1.147929E+02 3.366421E+01
1.148030E+02 3.364091E+01
1.148131E+02 3.361781E+01
1.148232E+02 3.359495E+01
1.148333E+02 3.357238E+01
1.148434E+02 3.355018E+01
1.148535E+02 3.352843E+01
1.148636E+02 3.350726E+01
1.148737E+02 3.348687E+01
1.148838E+02 3.346752E+01
1.148939E+02 3.344962E+01
1.149040E+02 3.343379E+01
1.149141E+02 3.342104E+01
1.149242E+02 3.341311E+01
1.149343E+02 3.341315E+01
1.149444E+02 3.342740E+01
1.149545E+02 3.346972E+01
1.149646E+02 3.357607E+01
1.149747E+02 3.386543E+01
1.149848E+02 3.494147E+01
1.149949E+02 4.507614E+01
1.150051E+02 4.505375E+01
1.150152E+02 3.487073E+01
1.150253E+02 3.374701E+01
1.150354E+02 3.341007E+01
1.150455E+02 3.325619E+01
1.150556E+02 3.316635E+01
1.150657E+02 3.310459E+01
1.150758E+02 3.305705E+01
1.150859E+02 3.301748E+01
1.150960E+02 3.298273E+01
1.151061E+02 3.295106E+01
1.151162E+02 3.292147E+01
1.151263E+02 3.289332E+01
1.151364E+02 3.286621E+01
1.151465E+02 3.283987E+01
1.151566E+02 3.281412E+01
1.151667E+02 3.278883E+01
1.151768E+02 3.276389E+01
1.151869E+02 3.273925E+01
1.151970E+02 3.271484E+01
1.152071E+02 3.269063E+01
1.152172E+02 3.266659E+01
1.152273E+02 3.264269E+01
1.152374E+02 3.261892E+01
1.152475E+02 3.259525E+01
1.152576E+02 3.257168E+01
1.152677E+02 3.254819E+01
1.152778E+02 3.252478E+01
1.152879E+02 3.250144E+01
1.152980E+02 3.247817E+01
1.153081E+02 3.245495E+01
1.153182E+02 3.243179E+01
1.153283E+02 3.240868E+01
1.153384E+02 3.238562E+01
1.153485E+02 3.236261E+01
1.153586E+02 3.233964E+01
1.153687E+02 3.231672E+01
1.153788E+02 3.229383E+01
1.153889E+02 3.227098E+01
1.153990E+02 3.224818E+01
1.154091E+02 3.222540E+01
1.154192E+02 3.220267E+01
1.154293E+02 3.217996E+01
1.154394E+02 3.215730E+01
1.154495E+02 3.213466E+01
1.154596E+02 3.211206E+01
1.154697E+02 3.208949E+01
1.154798E+02 3.206695E+01
1.154899E+02 3.204445E+01
1.155000E+02 3.202197E+01
