# m,M ->b,B
# x-axis: "Sqrt(S)"  from 80.000000 to 100.000000 N_points= 100
# Cross Section [pb]
8.000000E+01 9.661936E+01
8.020202E+01 1.002482E+02
8.040404E+01 1.040863E+02
8.060606E+01 1.081497E+02
8.080808E+01 1.124559E+02
8.101010E+01 1.170241E+02
8.121212E+01 1.218754E+02
8.141414E+01 1.270333E+02
8.161616E+01 1.325233E+02
8.181818E+01 1.383741E+02
8.202020E+01 1.446170E+02
8.222222E+01 1.512872E+02
8.242424E+01 1.584237E+02
8.262626E+01 1.660699E+02
8.282828E+01 1.742745E+02
8.303030E+01 1.830920E+02
8.323232E+01 1.925836E+02
8.343434E+01 2.028184E+02
8.363636E+01 2.138741E+02
8.383838E+01 2.258392E+02
8.404040E+01 2.388140E+02
8.424242E+01 2.529126E+02
8.444444E+01 2.682658E+02
8.464646E+01 2.850235E+02
8.484848E+01 3.033584E+02
8.505051E+01 3.234700E+02
8.525253E+01 3.455899E+02
8.545455E+01 3.699876E+02
8.565657E+01 3.969788E+02
8.585859E+01 4.269343E+02
8.606061E+01 4.602922E+02
8.626263E+01 4.975720E+02
8.646465E+01 5.393939E+02
8.666667E+01 5.865014E+02
8.686869E+01 6.397914E+02
8.707071E+01 7.003519E+02
8.727273E+01 7.695108E+02
8.747475E+01 8.488991E+02
8.767677E+01 9.405318E+02
8.787879E+01 1.046914E+03
8.808081E+01 1.171181E+03
8.828283E+01 1.317270E+03
8.848485E+01 1.490159E+03
8.868687E+01 1.696147E+03
8.888889E+01 1.943207E+03
8.909091E+01 2.241380E+03
8.929293E+01 2.603132E+03
8.949495E+01 3.043509E+03
8.969697E+01 3.579635E+03
8.989899E+01 4.228691E+03
9.010101E+01 5.002755E+03
9.030303E+01 5.898156E+03
9.050505E+01 6.877605E+03
9.070707E+01 7.848679E+03
9.090909E+01 8.655690E+03
9.111111E+01 9.114365E+03
9.131313E+01 9.097353E+03
9.151515E+01 8.613235E+03
9.171717E+01 7.799978E+03
9.191919E+01 6.840375E+03
9.212121E+01 5.882021E+03
9.232323E+01 5.009646E+03
9.252525E+01 4.256049E+03
9.272727E+01 3.623231E+03
9.292929E+01 3.099057E+03
9.313131E+01 2.666961E+03
9.333333E+01 2.310597E+03
9.353535E+01 2.015635E+03
9.373737E+01 1.770193E+03
9.393939E+01 1.564684E+03
9.414141E+01 1.391471E+03
9.434343E+01 1.244501E+03
9.454545E+01 1.118978E+03
9.474747E+01 1.011092E+03
9.494949E+01 9.178025E+02
9.515152E+01 8.366702E+02
9.535354E+01 7.657271E+02
9.555556E+01 7.033759E+02
9.575758E+01 6.483117E+02
9.595960E+01 5.994625E+02
9.616162E+01 5.559421E+02
9.636364E+01 5.170138E+02
9.656566E+01 4.820616E+02
9.676768E+01 4.505680E+02
9.696970E+01 4.220956E+02
9.717172E+01 3.962734E+02
9.737374E+01 3.727848E+02
9.757576E+01 3.513586E+02
9.777778E+01 3.317614E+02
9.797980E+01 3.137919E+02
9.818182E+01 2.972752E+02
9.838384E+01 2.820594E+02
9.858586E+01 2.680115E+02
9.878788E+01 2.550151E+02
9.898990E+01 2.429680E+02
9.919192E+01 2.317799E+02
9.939394E+01 2.213709E+02
9.959596E+01 2.116703E+02
9.979798E+01 2.026151E+02
1.000000E+02 1.941491E+02
