# m,M ->b,B
# x-axis: "Sqrt(S)"  from 20.000000 to 800.000000 N_points= 200
# Asymmetry
2.000000E+01 -6.231855E-02
2.391960E+01 -9.793151E-02
2.783920E+01 -1.414099E-01
3.175879E+01 -1.929512E-01
3.567839E+01 -2.523074E-01
3.959799E+01 -3.183563E-01
4.351759E+01 -3.885133E-01
4.743719E+01 -4.580684E-01
5.135678E+01 -5.197430E-01
5.527638E+01 -5.640294E-01
5.919598E+01 -5.809382E-01
6.311558E+01 -5.631536E-01
6.703518E+01 -5.092694E-01
7.095477E+01 -4.249348E-01
7.487437E+01 -3.208567E-01
7.879397E+01 -2.089710E-01
8.271357E+01 -9.915793E-02
8.663317E+01 2.183517E-03
9.055276E+01 9.194367E-02
9.447236E+01 1.693716E-01
9.839196E+01 2.350969E-01
1.023116E+02 2.903981E-01
1.062312E+02 3.367499E-01
1.101508E+02 3.755817E-01
1.140704E+02 4.081653E-01
1.179899E+02 4.356078E-01
1.219095E+02 4.588034E-01
1.258291E+02 4.785032E-01
1.297487E+02 4.953165E-01
1.336683E+02 5.097384E-01
1.375879E+02 5.221711E-01
1.415075E+02 5.329419E-01
1.454271E+02 5.423175E-01
1.493467E+02 5.505167E-01
1.532663E+02 5.577190E-01
1.571859E+02 5.640725E-01
1.611055E+02 5.697002E-01
1.650251E+02 5.747045E-01
1.689447E+02 5.791708E-01
1.728643E+02 5.831711E-01
1.767839E+02 5.867661E-01
1.807035E+02 5.900072E-01
1.846231E+02 5.929382E-01
1.885427E+02 5.955965E-01
1.924623E+02 5.980141E-01
1.963819E+02 6.002186E-01
2.003015E+02 6.022339E-01
2.042211E+02 6.040806E-01
2.081407E+02 6.057768E-01
2.120603E+02 6.073381E-01
2.159799E+02 6.087783E-01
2.198995E+02 6.101094E-01
2.238191E+02 6.113421E-01
2.277387E+02 6.124858E-01
2.316583E+02 6.135487E-01
2.355779E+02 6.145382E-01
2.394975E+02 6.154609E-01
2.434171E+02 6.163227E-01
2.473367E+02 6.171287E-01
2.512563E+02 6.178837E-01
