#  m,M ->b,B
# x-axis: "Sqrt(S)"  from 10.000000 to 80.000000 N_points= 100
# Cross Section [pb]
1.000000E+01 1.187099E+02
1.070707E+01 1.729387E+02
1.141414E+01 1.827828E+02
1.212121E+01 1.788301E+02
1.282828E+01 1.696745E+02
1.353535E+01 1.587324E+02
1.424242E+01 1.475131E+02
1.494949E+01 1.366983E+02
1.565657E+01 1.265804E+02
1.636364E+01 1.172616E+02
1.707071E+01 1.087500E+02
1.777778E+01 1.010090E+02
1.848485E+01 9.398189E+01
1.919192E+01 8.760539E+01
1.989899E+01 8.181630E+01
2.060606E+01 7.655482E+01
2.131313E+01 7.176599E+01
2.202020E+01 6.740015E+01
2.272727E+01 6.341290E+01
2.343434E+01 5.976481E+01
2.414141E+01 5.642091E+01
2.484848E+01 5.335030E+01
2.555556E+01 5.052569E+01
2.626263E+01 4.792293E+01
2.696970E+01 4.552066E+01
2.767677E+01 4.329998E+01
2.838384E+01 4.124410E+01
2.909091E+01 3.933814E+01
2.979798E+01 3.756883E+01
3.050505E+01 3.592437E+01
3.121212E+01 3.439421E+01
3.191919E+01 3.296892E+01
3.262626E+01 3.164006E+01
3.333333E+01 3.040006E+01
3.404040E+01 2.924212E+01
3.474747E+01 2.816012E+01
3.545455E+01 2.714857E+01
3.616162E+01 2.620249E+01
3.686869E+01 2.531742E+01
3.757576E+01 2.448931E+01
3.828283E+01 2.371453E+01
3.898990E+01 2.298977E+01
3.969697E+01 2.231207E+01
4.040404E+01 2.167875E+01
4.111111E+01 2.108739E+01
4.181818E+01 2.053583E+01
4.252525E+01 2.002211E+01
4.323232E+01 1.954449E+01
4.393939E+01 1.910142E+01
4.464646E+01 1.869152E+01
4.535354E+01 1.831360E+01
4.606061E+01 1.796660E+01
4.676768E+01 1.764964E+01
4.747475E+01 1.736196E+01
4.818182E+01 1.710294E+01
4.888889E+01 1.687213E+01
4.959596E+01 1.666918E+01
5.030303E+01 1.649390E+01
5.101010E+01 1.634622E+01
5.171717E+01 1.622621E+01
5.242424E+01 1.613409E+01
5.313131E+01 1.607023E+01
5.383838E+01 1.603514E+01
5.454545E+01 1.602952E+01
5.525253E+01 1.605422E+01
5.595960E+01 1.611030E+01
5.666667E+01 1.619900E+01
5.737374E+01 1.632183E+01
5.808081E+01 1.648049E+01
5.878788E+01 1.667701E+01
5.949495E+01 1.691369E+01
6.020202E+01 1.719319E+01
6.090909E+01 1.751856E+01
6.161616E+01 1.789330E+01
6.232323E+01 1.832140E+01
6.303030E+01 1.880742E+01
6.373737E+01 1.935661E+01
6.444444E+01 1.997498E+01
6.515152E+01 2.066942E+01
6.585859E+01 2.144787E+01
6.656566E+01 2.231951E+01
6.727273E+01 2.329492E+01
6.797980E+01 2.438644E+01
6.868687E+01 2.560839E+01
6.939394E+01 2.697757E+01
7.010101E+01 2.851367E+01
7.080808E+01 3.023996E+01
7.151515E+01 3.218403E+01
7.222222E+01 3.437877E+01
7.292929E+01 3.686366E+01
7.363636E+01 3.968634E+01
7.434343E+01 4.290475E+01
7.505051E+01 4.658985E+01
7.575758E+01 5.082926E+01
7.646465E+01 5.573218E+01
7.717172E+01 6.143595E+01
7.787879E+01 6.811522E+01
7.858586E+01 7.599467E+01
7.929293E+01 8.536706E+01
8.000000E+01 9.661936E+01
