# m,M ->b,B
# x-axis: "Sqrt(S)"  from 100.000000 to 8000.000000 N_points= 100
# Cross Section [pb]
1.000000E+02 1.941491E+02
1.797980E+02 4.255886E+00
2.595960E+02 1.616054E+00
3.393939E+02 8.771791E-01
4.191919E+02 5.557925E-01
4.989899E+02 3.850983E-01
5.787879E+02 2.830723E-01
6.585859E+02 2.170575E-01
7.383838E+02 1.718215E-01
8.181818E+02 1.394420E-01
8.979798E+02 1.154545E-01
9.777778E+02 9.718218E-02
1.057576E+03 8.293919E-02
1.137374E+03 7.161963E-02
1.217172E+03 6.247334E-02
1.296970E+03 5.497659E-02
1.376768E+03 4.875470E-02
1.456566E+03 4.353376E-02
1.536364E+03 3.910975E-02
1.616162E+03 3.532817E-02
1.695960E+03 3.207027E-02
1.775758E+03 2.924354E-02
1.855556E+03 2.677505E-02
1.935354E+03 2.460668E-02
2.015152E+03 2.269163E-02
2.094949E+03 2.099191E-02
2.174747E+03 1.947638E-02
2.254545E+03 1.811935E-02
2.334343E+03 1.689943E-02
2.414141E+03 1.579876E-02
2.493939E+03 1.480228E-02
2.573737E+03 1.389723E-02
2.653535E+03 1.307275E-02
2.733333E+03 1.231956E-02
2.813131E+03 1.162966E-02
2.892929E+03 1.099616E-02
2.972727E+03 1.041306E-02
3.052525E+03 9.875154E-03
3.132323E+03 9.377893E-03
3.212121E+03 8.917278E-03
3.291919E+03 8.489794E-03
3.371717E+03 8.092338E-03
3.451515E+03 7.722161E-03
3.531313E+03 7.376822E-03
3.611111E+03 7.054146E-03
3.690909E+03 6.752193E-03
3.770707E+03 6.469226E-03
3.850505E+03 6.203684E-03
3.930303E+03 5.954166E-03
4.010101E+03 5.719408E-03
4.089899E+03 5.498267E-03
4.169697E+03 5.289711E-03
4.249495E+03 5.092802E-03
4.329293E+03 4.906688E-03
4.409091E+03 4.730595E-03
4.488889E+03 4.563816E-03
4.568687E+03 4.405705E-03
4.648485E+03 4.255672E-03
4.728283E+03 4.113175E-03
4.808081E+03 3.977718E-03
4.887879E+03 3.848845E-03
4.967677E+03 3.726136E-03
5.047475E+03 3.609204E-03
5.127273E+03 3.497691E-03
5.207071E+03 3.391269E-03
5.286869E+03 3.289631E-03
5.366667E+03 3.192496E-03
5.446465E+03 3.099600E-03
5.526263E+03 3.010702E-03
5.606061E+03 2.925574E-03
5.685859E+03 2.844007E-03
5.765657E+03 2.765804E-03
5.845455E+03 2.690784E-03
5.925253E+03 2.618775E-03
6.005051E+03 2.549618E-03
6.084848E+03 2.483166E-03
6.164646E+03 2.419279E-03
6.244444E+03 2.357825E-03
6.324242E+03 2.298685E-03
6.404040E+03 2.241741E-03
6.483838E+03 2.186888E-03
6.563636E+03 2.134025E-03
6.643434E+03 2.083055E-03
6.723232E+03 2.033890E-03
6.803030E+03 1.986445E-03
6.882828E+03 1.940641E-03
6.962626E+03 1.896404E-03
7.042424E+03 1.853662E-03
7.122222E+03 1.812349E-03
7.202020E+03 1.772402E-03
7.281818E+03 1.733762E-03
7.361616E+03 1.696371E-03
7.441414E+03 1.660178E-03
7.521212E+03 1.625130E-03
7.601010E+03 1.591181E-03
7.680808E+03 1.558285E-03
7.760606E+03 1.526398E-03
7.840404E+03 1.495480E-03
7.920202E+03 1.465493E-03
8.000000E+03 1.436398E-03
