# m,M ->b,B
# x-axis: "Sqrt(S)"  from 20.000000 to 800.000000 N_points= 200
# Cross Section [pb]
2.000000E+01 8.103370E+01
2.391960E+01 5.743912E+01
2.783920E+01 4.281369E+01
3.175879E+01 3.328350E+01
3.567839E+01 2.684219E+01
3.959799E+01 2.240421E+01
4.351759E+01 1.936165E+01
4.743719E+01 1.737651E+01
5.135678E+01 1.628391E+01
5.527638E+01 1.605559E+01
5.919598E+01 1.680855E+01
6.311558E+01 1.887019E+01
6.703518E+01 2.295492E+01
7.095477E+01 3.062438E+01
7.487437E+01 4.562377E+01
7.879397E+01 7.858294E+01
8.271357E+01 1.695440E+02
8.663317E+01 5.782882E+02
9.055276E+01 7.112521E+03
9.447236E+01 1.162176E+03
9.839196E+01 2.814729E+02
1.023116E+02 1.267288E+02
1.062312E+02 7.358076E+01
1.101508E+02 4.897523E+01
1.140704E+02 3.547403E+01
1.179899E+02 2.720239E+01
1.219095E+02 2.172837E+01
1.258291E+02 1.789243E+01
1.297487E+02 1.508350E+01
1.336683E+02 1.295369E+01
1.375879E+02 1.129261E+01
1.415075E+02 9.966580E+00
1.454271E+02 8.887181E+00
1.493467E+02 7.993893E+00
1.532663E+02 7.244072E+00
1.571859E+02 6.606905E+00
1.611055E+02 6.059639E+00
1.650251E+02 5.585142E+00
1.689447E+02 5.170298E+00
1.728643E+02 4.804906E+00
1.767839E+02 4.480926E+00
1.807035E+02 4.191944E+00
1.846231E+02 3.932783E+00
1.885427E+02 3.699223E+00
1.924623E+02 3.487792E+00
1.963819E+02 3.295611E+00
2.003015E+02 3.120269E+00
2.042211E+02 2.959737E+00
2.081407E+02 2.812294E+00
2.120603E+02 2.676473E+00
2.159799E+02 2.551012E+00
2.198995E+02 2.434825E+00
2.238191E+02 2.326969E+00
2.277387E+02 2.226623E+00
2.316583E+02 2.133069E+00
2.355779E+02 2.045674E+00
2.394975E+02 1.963881E+00
2.434171E+02 1.887199E+00
2.473367E+02 1.815190E+00
2.512563E+02 1.747462E+00
2.551759E+02 1.683667E+00
2.590955E+02 1.623492E+00
2.630151E+02 1.566656E+00
2.669347E+02 1.512907E+00
2.708543E+02 1.462014E+00
2.747739E+02 1.413770E+00
2.786935E+02 1.367987E+00
2.826131E+02 1.324494E+00
2.865327E+02 1.283135E+00
2.904523E+02 1.243766E+00
2.943719E+02 1.206258E+00
2.982915E+02 1.170491E+00
3.022111E+02 1.136354E+00
3.061307E+02 1.103747E+00
3.100503E+02 1.072576E+00
3.139698E+02 1.042756E+00
3.178894E+02 1.014207E+00
3.218090E+02 9.868557E-01
3.257286E+02 9.606335E-01
3.296482E+02 9.354774E-01
3.335678E+02 9.113287E-01
3.374874E+02 8.881327E-01
3.414070E+02 8.658385E-01
3.453266E+02 8.443986E-01
3.492462E+02 8.237688E-01
3.531658E+02 8.039077E-01
3.570854E+02 7.847764E-01
3.610050E+02 7.663388E-01
3.649246E+02 7.485609E-01
3.688442E+02 7.314108E-01
3.727638E+02 7.148586E-01
3.766834E+02 6.988761E-01
3.806030E+02 6.834369E-01
3.845226E+02 6.685160E-01
3.884422E+02 6.540900E-01
3.923618E+02 6.401368E-01
3.962814E+02 6.266355E-01
4.002010E+02 6.135663E-01
4.041206E+02 6.009107E-01
4.080402E+02 5.886510E-01
4.119598E+02 5.767705E-01
4.158794E+02 5.652534E-01
4.197990E+02 5.540849E-01
4.237186E+02 5.432506E-01
4.276382E+02 5.327372E-01
4.315578E+02 5.225319E-01
4.354774E+02 5.126224E-01
4.393970E+02 5.029974E-01
4.433166E+02 4.936458E-01
4.472362E+02 4.845572E-01
4.511558E+02 4.757217E-01
4.550754E+02 4.671297E-01
4.589950E+02 4.587723E-01
4.629146E+02 4.506409E-01
4.668342E+02 4.427273E-01
4.707538E+02 4.350236E-01
4.746734E+02 4.275224E-01
4.785930E+02 4.202165E-01
4.825126E+02 4.130992E-01
4.864322E+02 4.061638E-01
4.903518E+02 3.994041E-01
4.942714E+02 3.928143E-01
4.981910E+02 3.863885E-01
5.021106E+02 3.801213E-01
5.060302E+02 3.740074E-01
5.099497E+02 3.680419E-01
5.138693E+02 3.622198E-01
5.177889E+02 3.565366E-01
5.217085E+02 3.509878E-01
5.256281E+02 3.455692E-01
5.295477E+02 3.402767E-01
5.334673E+02 3.351063E-01
5.373869E+02 3.300543E-01
5.413065E+02 3.251171E-01
5.452261E+02 3.202911E-01
5.491457E+02 3.155730E-01
5.530653E+02 3.109596E-01
5.569849E+02 3.064478E-01
5.609045E+02 3.020345E-01
5.648241E+02 2.977170E-01
5.687437E+02 2.934923E-01
5.726633E+02 2.893579E-01
5.765829E+02 2.853112E-01
5.805025E+02 2.813496E-01
5.844221E+02 2.774708E-01
5.883417E+02 2.736725E-01
5.922613E+02 2.699524E-01
5.961809E+02 2.663084E-01
6.001005E+02 2.627384E-01
6.040201E+02 2.592404E-01
6.079397E+02 2.558125E-01
6.118593E+02 2.524527E-01
6.157789E+02 2.491593E-01
6.196985E+02 2.459305E-01
6.236181E+02 2.427646E-01
6.275377E+02 2.396600E-01
6.314573E+02 2.366151E-01
6.353769E+02 2.336283E-01
6.392965E+02 2.306982E-01
6.432161E+02 2.278234E-01
6.471357E+02 2.250024E-01
6.510553E+02 2.222339E-01
6.549749E+02 2.195166E-01
6.588945E+02 2.168492E-01
6.628141E+02 2.142306E-01
6.667337E+02 2.116595E-01
6.706533E+02 2.091347E-01
6.745729E+02 2.066552E-01
6.784925E+02 2.042198E-01
6.824121E+02 2.018276E-01
6.863317E+02 1.994774E-01
6.902513E+02 1.971684E-01
6.941709E+02 1.948995E-01
6.980905E+02 1.926698E-01
7.020101E+02 1.904785E-01
7.059296E+02 1.883246E-01
7.098492E+02 1.862072E-01
7.137688E+02 1.841256E-01
7.176884E+02 1.820790E-01
7.216080E+02 1.800665E-01
7.255276E+02 1.780874E-01
7.294472E+02 1.761410E-01
7.333668E+02 1.742265E-01
7.372864E+02 1.723433E-01
7.412060E+02 1.704906E-01
7.451256E+02 1.686678E-01
7.490452E+02 1.668743E-01
7.529648E+02 1.651094E-01
7.568844E+02 1.633725E-01
7.608040E+02 1.616631E-01
7.647236E+02 1.599805E-01
7.686432E+02 1.583241E-01
7.725628E+02 1.566936E-01
7.764824E+02 1.550882E-01
7.804020E+02 1.535075E-01
7.843216E+02 1.519510E-01
7.882412E+02 1.504182E-01
7.921608E+02 1.489086E-01
7.960804E+02 1.474217E-01
8.000000E+02 1.459571E-01
